JUDUL,KATEGORI,tokens,stemmed
berapa banyak berat badan yang turun dalam sebulan ini penjelasannya,Olahraga,"['berat', 'badan', 'turun', 'sebulan', 'penjelasannya']",berat badan turun bulan jelas
serunya bersepeda santai di summarecon bandung,Olahraga,"['serunya', 'bersepeda', 'santai', 'summarecon', 'bandung']",seru sepeda santai summarecon bandung
upaya menolak pikun saat tua,Olahraga,"['upaya', 'menolak', 'pikun', 'tua']",upaya tolak pikun tua
rahasia bugar ala david beckham tetap six packs di usia jelang  tahun,Olahraga,"['rahasia', 'bugar', 'ala', 'david', 'beckham', 'six', 'packs', 'usia', 'jelang']",rahasia bugar ala david beckham six packs usia jelang
sah buleleng jadi tuan rumah tunggal porprov ,Olahraga,"['sah', 'buleleng', 'tuan', 'rumah', 'tunggal', 'porprov']",sah buleleng tuan rumah tunggal porprov
pria inggris sukses pangkas bb  kg caranya mudah banget ditiru,Olahraga,"['pria', 'inggris', 'sukses', 'pangkas', 'bb', 'kg', 'mudah', 'banget', 'ditiru']",pria inggris sukses pangkas bb kg mudah banget tiru
begini reaksi prabowo usai timnas indonesia digilas australia,Olahraga,"['reaksi', 'prabowo', 'timnas', 'indonesia', 'digilas', 'australia']",reaksi prabowo timnas indonesia gilas australia
cerita rutinitas pagi astronot yang tinggal  bulan di luar angkasa,Olahraga,"['cerita', 'rutinitas', 'pagi', 'astronot', 'tinggal', 'angkasa']",cerita rutinitas pagi astronot tinggal angkasa
sudah puasa full tapi badan belum juga kurus ini penyebabnya,Olahraga,"['puasa', 'full', 'badan', 'kurus', 'penyebabnya']",puasa full badan kurus sebab
bali tuan rumah seri piala dunia  veddriq leonardo banyak untungnya,Olahraga,"['bali', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'veddriq', 'leonardo', 'untungnya']",bal tuan rumah seri piala dunia veddriq leonardo untung
ngabuburit seru di skorz tempat olahraga  hiburan favorit di jakarta,Olahraga,"['ngabuburit', 'seru', 'skorz', 'olahraga', 'hiburan', 'favorit', 'jakarta']",ngabuburit seru skorz olahraga hibur favorit jakarta
reaksi sule usai mahalini curhat soal berat badan rizky febian,Olahraga,"['reaksi', 'sule', 'mahalini', 'curhat', 'berat', 'badan', 'rizky', 'febian']",reaksi sule mahalini curhat berat badan rizky febian
kebiasaan sehat yang bisa cegah gagal ginjal termasuk rutin minum air putih,Olahraga,"['kebiasaan', 'sehat', 'cegah', 'gagal', 'ginjal', 'rutin', 'minum', 'air', 'putih']",biasa sehat cegah gagal ginjal rutin minum air putih
jakarta rasa bali tempat ngopi asri bisa olahraga,Olahraga,"['jakarta', 'bali', 'ngopi', 'asri', 'olahraga']",jakarta bal ngopi asri olahraga
infografis tak hanya jago di lapangan pemain timnas ini juga mahasiswa,Olahraga,"['infografis', 'jago', 'lapangan', 'pemain', 'timnas', 'mahasiswa']",infografis jago lapang main timnas mahasiswa
rs siloam mampang perkenalkan integrated siloam sports medicine  performance center,Olahraga,"['rs', 'siloam', 'mampang', 'perkenalkan', 'integrated', 'siloam', 'sports', 'medicine', 'performance', 'center']",rs siloam mampang kenal integrated siloam sports medicine performance center
teknik gerakan renang gaya dada yang benar dan manfaatnya,Olahraga,"['teknik', 'gerakan', 'renang', 'gaya', 'dada', 'manfaatnya']",teknik gera renang gaya dada manfaat
kapan waktu olahraga yang paling baik saat puasa,Olahraga,"['olahraga', 'puasa']",olahraga puasa
video kutips rekomendasi olahraga tambah bb pas puasa,Olahraga,"['video', 'kutips', 'rekomendasi', 'olahraga', 'bb', 'pas', 'puasa']",video kutips rekomendasi olahraga bb pas puasa
rekomendasi smartwatch suunto buat yang hobi lari renang marathon,Olahraga,"['rekomendasi', 'smartwatch', 'suunto', 'hobi', 'lari', 'renang', 'marathon']",rekomendasi smartwatch suunto hobi lari renang marathon
pria ini sukses pangkas  kg dalam  hari transformasinya bikin pangling,Olahraga,"['pria', 'sukses', 'pangkas', 'kg', 'transformasinya', 'bikin', 'pangling']",pria sukses pangkas kg transformasi bikin pangling
sederet kebiasaan yang bikin berat badan naik saat puasa ramadan,Olahraga,"['sederet', 'kebiasaan', 'bikin', 'berat', 'badan', 'puasa', 'ramadan']",deret biasa bikin berat badan puasa ramadan
jadwal lengkap all england  hari ini  wakil indonesia main,Olahraga,"['jadwal', 'lengkap', 'all', 'england', 'wakil', 'indonesia', 'main']",jadwal lengkap all england wakil indonesia main
pekan kedua puasa ramadan masih belum berani olahraga ini saran dokter,Olahraga,"['pekan', 'puasa', 'ramadan', 'berani', 'olahraga', 'saran', 'dokter']",pekan puasa ramadan berani olahraga saran dokter
terungkap lewat studi segini durasi olahraga yang bisa bikin panjang umur,Olahraga,"['terungkap', 'studi', 'segini', 'durasi', 'olahraga', 'bikin', 'umur']",ungkap studi gin durasi olahraga bikin umur
video amankah olahraga saat waktu sahur,Olahraga,"['video', 'amankah', 'olahraga', 'sahur']",video aman olahraga sahur
padma run  hadir di ubud perpaduan olahraga budaya dan charity,Olahraga,"['padma', 'run', 'hadir', 'ubud', 'perpaduan', 'olahraga', 'budaya', 'charity']",padma run hadir ubud padu olahraga budaya charity
indonesia kembali jadi tuan rumah seri piala dunia panjat tebing ,Olahraga,"['indonesia', 'tuan', 'rumah', 'seri', 'piala', 'dunia', 'panjat', 'tebing']",indonesia tuan rumah seri piala dunia panjat tebing
 jurusan yang paling bikin mahasiswa bahagia menurut survei,Olahraga,"['jurusan', 'bikin', 'mahasiswa', 'bahagia', 'survei']",jurus bikin mahasiswa bahagia survei
 tips olahraga saat puasa agar efektif turunkan bb menurut ahli,Olahraga,"['tips', 'olahraga', 'puasa', 'efektif', 'turunkan', 'bb', 'ahli']",tips olahraga puasa efektif turun bb ahli
cerita mereka yang tak puasa olahraga konsisten cari keringat selama ramadan,Olahraga,"['cerita', 'puasa', 'olahraga', 'konsisten', 'cari', 'keringat', 'ramadan']",cerita puasa olahraga konsisten cari keringat ramadan
video biasanya rajin olahraga tapi pas puasa kok malah absen ini risikonya,Olahraga,"['video', 'rajin', 'olahraga', 'pas', 'puasa', 'absen', 'risikonya']",video rajin olahraga pas puasa absen risiko
 bidang kuliah dengan mahasiswa paling bahagia menurut survei ada jurusanmu,Olahraga,"['bidang', 'kuliah', 'mahasiswa', 'bahagia', 'survei', 'jurusanmu']",bidang kuliah mahasiswa bahagia survei jurus
video amankah olahraga di waktu sahur,Olahraga,"['video', 'amankah', 'olahraga', 'sahur']",video aman olahraga sahur
komite olahraga pekerja tuai dukungan,Olahraga,"['komite', 'olahraga', 'pekerja', 'tuai', 'dukungan']",komite olahraga kerja tuai dukung
saran dokter bagi yang ingin olahraga malam di bulan puasa,Olahraga,"['saran', 'dokter', 'olahraga', 'malam', 'puasa']",saran dokter olahraga malam puasa
manfaat salat tarawih setara olahraga ada benarnya tapi nggak sesimpel itu,Olahraga,"['manfaat', 'salat', 'tarawih', 'setara', 'olahraga', 'benarnya', 'nggak', 'sesimpel']",manfaat salat tarawih tara olahraga benar nggak simpel
dokter ingatkan makin banyak gen z kena kanker kolorektal dipicu malas gerak,Olahraga,"['dokter', 'ingatkan', 'gen', 'z', 'kena', 'kanker', 'kolorektal', 'dipicu', 'malas', 'gerak']",dokter ingat gen z kena kanker kolorektal picu malas gerak
cerita pria pangkas  kg dengan rutin jalan kaki  ribu langkah sehari,Olahraga,"['cerita', 'pria', 'pangkas', 'kg', 'rutin', 'jalan', 'kaki', 'ribu', 'langkah', 'sehari']",cerita pria pangkas kg rutin jalan kaki ribu langkah hari
tetap berolahraga meski sedang berpuasa ini kata dokter,Olahraga,"['berolahraga', 'berpuasa', 'dokter']",olahraga puasa dokter
olahraga saat perut kosong di bulan puasa benarkah lebih efektif pangkas bb,Olahraga,"['olahraga', 'perut', 'kosong', 'puasa', 'efektif', 'pangkas', 'bb']",olahraga perut kosong puasa efektif pangkas bb
kagetnya dokter temukan paruparu pria kolaps usai push uplompat tali  kali,Olahraga,"['kagetnya', 'dokter', 'temukan', 'paruparu', 'pria', 'kolaps', 'push', 'uplompat', 'tali', 'kali']",kaget dokter temu paruparu pria kolaps push uplompat tali kali
riuh polemik siswa belajar renang di halaman sekolah,Olahraga,"['riuh', 'polemik', 'siswa', 'belajar', 'renang', 'halaman', 'sekolah']",riuh polemik siswa ajar renang halaman sekolah
viral siswa sd di karawang latihan renang di halaman ini faktanya,Olahraga,"['viral', 'siswa', 'sd', 'karawang', 'latihan', 'renang', 'halaman', 'faktanya']",viral siswa sd karawang latih renang halaman fakta
bejo sugiantoro meninggal dokter ingatkan tanda jantung kolaps saat olahraga,Olahraga,"['bejo', 'sugiantoro', 'meninggal', 'dokter', 'ingatkan', 'tanda', 'jantung', 'kolaps', 'olahraga']",bejo sugiantoro tinggal dokter ingat tanda jantung kolaps olahraga
jalan kaki indoor vs outdoor mana yang terbaik penelitian bilang gini,Olahraga,"['jalan', 'kaki', 'indoor', 'vs', 'outdoor', 'terbaik', 'penelitian', 'bilang', 'gini']",jalan kaki indoor vs outdoor baik teliti bilang gin
disawer buat buka celana saat manggung uan juicy luicy menolak,Selebritas,"['disawer', 'buka', 'celana', 'manggung', 'uan', 'juicy', 'luicy', 'menolak']",sawer buka celana manggung uan juicy luicy tolak
marshanda beberkan standar pasangan idaman,Selebritas,"['marshanda', 'beberkan', 'standar', 'pasangan', 'idaman']",marshanda kan standar pasang idam
baim wong ajak anak liburan di danau toba begini keseruannya,Selebritas,"['baim', 'ajak', 'anak', 'liburan', 'danau', 'toba', 'keseruannya']",baim ajak anak libur danau toba seru
momen romantis rey mbayangdinda hauw rayakan anniversary pernikahan di gunung,Selebritas,"['momen', 'romantis', 'rey', 'mbayangdinda', 'hauw', 'rayakan', 'anniversary', 'pernikahan', 'gunung']",momen romantis rey mbayangdinda hauw raya anniversary nikah gunung
marshel widianto bahagia bisa kembali tampil di tv sebut  nama artis ini,Selebritas,"['marshel', 'widianto', 'bahagia', 'tampil', 'tv', 'nama', 'artis']",marshel widianto bahagia tampil tv nama artis
visa furoda tak terbit wendi cagur dan istri batal haji,Selebritas,"['visa', 'furoda', 'terbit', 'wendi', 'cagur', 'istri', 'batal', 'haji']",visa furoda terbit wendi cagur istri batal haji
badannya jadi lebih berisi demi film amanda manopo bodo amat dicibir,Selebritas,"['badannya', 'berisi', 'film', 'amanda', 'manopo', 'bodo', 'dicibir']",badan isi film amanda manopo bodo cibir
gisel mau cari pasangan terbaik,Selebritas,"['gisel', 'cari', 'pasangan', 'terbaik']",gisel cari pasang baik
cut tari yang tetap mempesona di usia  tahun,Selebritas,"['cut', 'tari', 'mempesona', 'usia']",cut tari pesona usia
bastian mau nikahi sitha marino kalau bisa secepatnya ngapain besok,Selebritas,"['bastian', 'nikahi', 'sitha', 'marino', 'secepatnya', 'ngapain', 'besok']",bastian nikah sitha marino cepat ngapain besok
komika arafah rianti dan steven wongso putus kalau jodoh tak ke mana,Selebritas,"['komika', 'arafah', 'rianti', 'steven', 'wongso', 'putus', 'jodoh']",komika arafah rianti steven wongso putus jodoh
nagita slavina turut bahagia usai sukses mak comblangi luna mayamaxime,Selebritas,"['nagita', 'slavina', 'bahagia', 'sukses', 'mak', 'comblangi', 'luna', 'mayamaxime']",nagita slavina bahagia sukses mak comblang luna mayamaxime
dita karang resmi umumkan hengkang dari secret number,Selebritas,"['dita', 'karang', 'resmi', 'umumkan', 'hengkang', 'secret', 'number']",dita karang resmi umum hengkang secret number
selamat zaskia gotik lahirkan anak ketiga,Selebritas,"['selamat', 'zaskia', 'gotik', 'lahirkan', 'anak', 'ketiga']",selamat zaskia gotik lahir anak tiga
fuji soal laporkan agensi kasus penggelapan aku nggak mau diremehin,Selebritas,"['fuji', 'laporkan', 'agensi', 'penggelapan', 'nggak', 'diremehin']",fuji lapor agens gelap nggak diremehin
keasyikan bukber hingga lupa jaga makan bikin mpok atiek masuk icu,Selebritas,"['keasyikan', 'bukber', 'lupa', 'jaga', 'makan', 'bikin', 'mpok', 'atiek', 'masuk', 'icu']",asyik bukber lupa jaga makan bikin mpok atiek masuk icu
venna melinda ungkap verrell siap menikah tanya kesiapan fuji,Selebritas,"['venna', 'melinda', 'verrell', 'menikah', 'kesiapan', 'fuji']",venna melinda verrell meni kesiap fuji
ultah ke bentrand peto dapat mobil dari sarwendah,Selebritas,"['ultah', 'bentrand', 'peto', 'mobil', 'sarwendah']",ultah bentrand peto mobil sarwendah
inara rusli banjir job selama ramadan,Selebritas,"['inara', 'rusli', 'banjir', 'job', 'ramadan']",inara rusli banjir job ramadan
ivan gunawan siapsiap pindah ke dubai habis lebaran,Selebritas,"['ivan', 'gunawan', 'siapsiap', 'pindah', 'dubai', 'habis', 'lebaran']",ivan gunawan siapsiap pindah dubai habis lebaran
bahagianya kiky saputri yang kini jadi ibu,Selebritas,"['bahagianya', 'kiky', 'saputri']",bahagia kiky saputri
nabila eks jkt soal kriteria jodoh lihat akhlaknya,Selebritas,"['nabila', 'eks', 'jkt', 'kriteria', 'jodoh', 'lihat', 'akhlaknya']",nabila eks jkt kriteria jodoh lihat akhlak
meriam bellina sempat kena serangan jantuk anak panik,Selebritas,"['meriam', 'bellina', 'kena', 'serangan', 'jantuk', 'anak', 'panik']",meriam bellina kena serang jantuk anak panik
sudah  tahun image bawang putih masih melekat di revalina s temat,Selebritas,"['image', 'bawang', 'putih', 'melekat', 'revalina', 's', 'temat']",image bawang putih lekat revalina s temat
puji syukur mpok atiek usai sembuh total jadi tumor usus,Selebritas,"['puji', 'syukur', 'mpok', 'atiek', 'sembuh', 'total', 'tumor', 'usus']",puji syukur mpok atiek sembuh total tumor usus
asri welasgaliech ridha resmi cerai,Selebritas,"['asri', 'welasgaliech', 'ridha', 'resmi', 'cerai']",asri welasgaliech ridha resmi cerai
tanggapan fedi nuril digelari netizen sebagai duta poligami,Selebritas,"['tanggapan', 'fedi', 'nuril', 'digelari', 'netizen', 'duta', 'poligami']",tanggap fedi nuril gari netizen duta poligami
geramnya olla ramlan pada buzzer hingga lapor polisi,Selebritas,"['geramnya', 'olla', 'ramlan', 'buzzer', 'lapor', 'polisi']",geram olla ramlan buzzer lapor polisi
disebut jerumuskan dede sunandar ke politik vicky jadi beban moril,Selebritas,"['jerumuskan', 'dede', 'sunandar', 'politik', 'vicky', 'beban', 'moril']",jerumus dede sunandar politik vicky beban moril
dede sunandar jawab isu ditendang manajemen andre taulany,Selebritas,"['dede', 'sunandar', 'isu', 'ditendang', 'manajemen', 'andre', 'taulany']",dede sunandar isu tendang manajemen andre taulany
cara mandra nikmati hari tua jelajah alam naik jip,Selebritas,"['mandra', 'nikmati', 'tua', 'jelajah', 'alam', 'jip']",mandra nikmat tua jelajah alam jip
soimah nolak job malam tahun baru meski bayaran tinggi ini alasannya,Selebritas,"['soimah', 'nolak', 'job', 'malam', 'bayaran', 'alasannya']",soimah nolak job malam bayar alas
ratu ftv talitha curtis kini jual risol di pinggir jalan,Selebritas,"['ratu', 'ftv', 'talitha', 'curtis', 'jual', 'risol', 'pinggir', 'jalan']",ratu ftv talitha curtis jual risol pinggir jalan
gaya umi pipik naik jetski di danau toba berbusana syaripakai cadar,Selebritas,"['gaya', 'umi', 'pipik', 'jetski', 'danau', 'toba', 'berbusana', 'syaripakai', 'cadar']",gaya umi pipik jetski danau toba busana syaripakai cadar
vadel badjideh ngotot mau ketemu nikita mirzani langsung,Selebritas,"['vadel', 'badjideh', 'ngotot', 'ketemu', 'nikita', 'mirzani', 'langsung']",vadel badjideh ngotot ketemu nikita mirzani langsung
terima kasih nunung ke raffi ahmad usai dibantu buka rumah makan,Selebritas,"['terima', 'kasih', 'nunung', 'raffi', 'ahmad', 'dibantu', 'buka', 'rumah', 'makan']",terima kasih nunung raffi ahmad bantu buka rumah makan
the changcuters bikin aturan baru usai tria pingsan di panggung,Selebritas,"['the', 'changcuters', 'bikin', 'aturan', 'tria', 'pingsan', 'panggung']",the changcuters bikin atur tria pingsan panggung
irish bella nikah lagi ammar zoni sudah ikhlas,Selebritas,"['irish', 'bella', 'nikah', 'ammar', 'zoni', 'ikhlas']",irish bella nikah ammar zoni ikhlas
bangganya jedar ke vincent yang tolak tawaran raffi ahmad biayai lahiran,Selebritas,"['bangganya', 'jedar', 'vincent', 'tolak', 'tawaran', 'raffi', 'ahmad', 'biayai', 'lahiran']",bangga jedar vincent tolak tawar raffi ahmad biaya lahir
tingkah limbad di rumah dibongkar anak ternyata hobi nyanyi dangdut,Selebritas,"['tingkah', 'limbad', 'rumah', 'dibongkar', 'anak', 'hobi', 'nyanyi', 'dangdut']",tingkah limbad rumah bongkar anak hobi nyanyi dangdut
al el dan dul manggung bareng para kekasih kompak nemenin,Selebritas,"['al', 'el', 'dul', 'manggung', 'bareng', 'kekasih', 'kompak', 'nemenin']",al el dul manggung bareng kasih kompak nemenin
gaya indah permatasari belanja ke pasar sederhana tapi cantik,Selebritas,"['gaya', 'indah', 'permatasari', 'belanja', 'pasar', 'sederhana', 'cantik']",gaya indah permatasari belanja pasar sederhana cantik
permohonan cerai ditolak hakim andre taulany banding,Selebritas,"['permohonan', 'cerai', 'ditolak', 'hakim', 'andre', 'taulany', 'banding']",mohon cerai tolak hakim andre taulany banding
kena asam urat ivan gunawan perbaiki pola makan,Selebritas,"['kena', 'asam', 'urat', 'ivan', 'gunawan', 'perbaiki', 'pola', 'makan']",kena asam urat ivan gunawan baik pola makan
cerita nunung hibur diri saat berjuang melawan kanker  payudara,Selebritas,"['cerita', 'nunung', 'hibur', 'berjuang', 'melawan', 'kanker', 'payudara']",cerita nunung hibur juang lawan kanker payudara
gugatan cerai andre taulany ditolak ini pertimbangan hakim,Selebritas,"['gugatan', 'cerai', 'andre', 'taulany', 'ditolak', 'pertimbangan', 'hakim']",gugat cerai andre taulany tolak timbang hakim
vadel badjideh beberkan barang bukti usg pihak nikita mirzani heran,Selebritas,"['vadel', 'badjideh', 'beberkan', 'barang', 'bukti', 'usg', 'nikita', 'mirzani', 'heran']",vadel badjideh kan barang bukti usg nikita mirzani heran
rumah tangganya diterpa hoaks rizki febian kami lagi bahagia,Selebritas,"['rumah', 'tangganya', 'diterpa', 'hoaks', 'rizki', 'febian', 'bahagia']",rumah tangga terpa hoaks rizki febian bahagia
dapat gaun harga ratusan juta dewi perssik bajunya seksi banget,Selebritas,"['gaun', 'harga', 'ratusan', 'juta', 'dewi', 'perssik', 'bajunya', 'seksi', 'banget']",gaun harga ratus juta dewi perssik baju seksi banget
cerita adam jordan dikira merampok saat belikan ortu mobil dari hasil syuting,Selebritas,"['cerita', 'adam', 'jordan', 'merampok', 'belikan', 'ortu', 'mobil', 'hasil', 'syuting']",cerita adam jordan rampok belikan ortu mobil hasil syuting
anak berlaga pon xxi acehsumut irfan hakim bangga,Selebritas,"['anak', 'berlaga', 'pon', 'xxi', 'acehsumut', 'irfan', 'hakim', 'bangga']",anak laga pon xxi acehsumut irfan hakim bangga
pria diduga bodyguardnya ancam wartawan atta halilintar minta maaf,Selebritas,"['pria', 'diduga', 'bodyguardnya', 'ancam', 'wartawan', 'atta', 'halilintar', 'maaf']",pria duga bodyguardnya ancam wartawan atta halilintar maaf
lesti kejora diizinkan nyanyi sebelum sidang skripsi hilangkan gugup,Selebritas,"['lesti', 'kejora', 'diizinkan', 'nyanyi', 'sidang', 'skripsi', 'hilangkan', 'gugup']",lesti kejora izin nyanyi sidang skripsi hilang gugup
sule mau hidupmati sebagai seniman ogah masuk politik,Selebritas,"['sule', 'hidupmati', 'seniman', 'ogah', 'masuk', 'politik']",sule hidupmati seniman ogah masuk politik
cerita nycta gina dan rizky kinos sering debat soal pendidikan anak,Selebritas,"['cerita', 'nycta', 'gina', 'rizky', 'kinos', 'debat', 'pendidikan', 'anak']",cerita nycta gina rizky kinos debat didik anak
habib usman bin yahya ungkap awal mula kartika putri putuskan bercadar,Selebritas,"['habib', 'usman', 'bin', 'yahya', 'kartika', 'putri', 'putuskan', 'bercadar']",habib usman bin yahya kartika putri putus cadar
bikin pangling begini penampilan baru zayn malik,Selebritas,"['bikin', 'pangling', 'penampilan', 'zayn', 'malik']",bikin pangling tampil zayn malik
dikritik netizen kiky saputri jelaskan alasan tak ikut demo di dpr,Selebritas,"['dikritik', 'netizen', 'kiky', 'saputri', 'alasan', 'demo', 'dpr']",kritik netizen kiky saputri alas demo dpr
inara rusli ungkap respons anak sebelum bercerai hingga soal pendamping baru,Selebritas,"['inara', 'rusli', 'respons', 'anak', 'bercerai', 'pendamping']",inara rusli respons anak cerai damping
anji putuskan vasektomi usai cerai demi anak,Selebritas,"['anji', 'putuskan', 'vasektomi', 'cerai', 'anak']",anji putus vasektomi cerai anak
sarwendah puas sama hasil oplas di korea tegaskan bukan endorse,Selebritas,"['sarwendah', 'puas', 'hasil', 'oplas', 'korea', 'tegaskan', 'endorse']",sarwendah puas hasil oplas korea tegas endorse
 tahun tutupi kdrt suami cut intan ungkap alasannya,Selebritas,"['tutupi', 'kdrt', 'suami', 'cut', 'intan', 'alasannya']",tutup kdrt suami cut intan alas
ayu ting ting balas komen netizen yang julid ke bilqis,Selebritas,"['ayu', 'ting', 'ting', 'balas', 'komen', 'netizen', 'julid', 'bilqis']",ayu ting ting balas komen netizen julid bilqis
potret rayyanza fashion show pakai baju daur ulang plastik karya sus rini,Selebritas,"['potret', 'rayyanza', 'fashion', 'show', 'pakai', 'baju', 'daur', 'ulang', 'plastik', 'karya', 'sus', 'rini']",potret rayyanza fashion show pakai baju daur ulang plastik karya sus rini
haru ucapan mbak lala untuk rafathar yang ultah ke,Selebritas,"['haru', 'ucapan', 'mbak', 'lala', 'rafathar', 'ultah']",haru ucap mbak lala rafathar ultah
mantap bercadar kartika putri tak ambil job syuting lagi,Selebritas,"['mantap', 'bercadar', 'kartika', 'putri', 'ambil', 'job', 'syuting']",mantap cadar kartika putri ambil job syuting
cerita denny sumargo soal inspirasi nama anak,Selebritas,"['cerita', 'denny', 'sumargo', 'inspirasi', 'nama', 'anak']",cerita denny sumargo inspirasi nama anak
anak coretcoret seprei di hotel rizky billar didenda rp  juta,Selebritas,"['anak', 'coretcoret', 'seprei', 'hotel', 'rizky', 'billar', 'didenda', 'rp', 'juta']",anak coretcoret seprei hotel rizky billar denda rp juta
sering main film romantis aliando syarief ternyata tak pernah pacaran,Selebritas,"['main', 'film', 'romantis', 'aliando', 'syarief', 'pacaran']",main film romantis aliando syarief pacar
kini bercadar kartika putri putuskan tidak lagi syuting,Selebritas,"['bercadar', 'kartika', 'putri', 'putuskan', 'syuting']",cadar kartika putri putus syuting
atta halilintar rilis single baru kolaborasi dengan rapper malaysia,Selebritas,"['atta', 'halilintar', 'rilis', 'single', 'kolaborasi', 'rapper', 'malaysia']",atta halilintar rilis single kolaborasi rapper malaysia
andre taulany sudah diskusi dengan anakanak untuk cerai dengan istri,Selebritas,"['andre', 'taulany', 'diskusi', 'anakanak', 'cerai', 'istri']",andre taulany diskusi anakanak cerai istri
zaskia adya mecca ikut misi kemanusiaan ke palestina,Selebritas,"['zaskia', 'adya', 'mecca', 'misi', 'kemanusiaan', 'palestina']",zaskia adya mecca misi manusia palestina
dukungan dul jaelani soal kemungkinan tissa biani berhijab,Selebritas,"['dukungan', 'dul', 'jaelani', 'tissa', 'biani', 'berhijab']",dukung dul jaelani tissa biani hijab
respons suami yang diungkap nunung soal gimik dengan aziz gagap,Selebritas,"['respons', 'suami', 'diungkap', 'nunung', 'gimik', 'aziz', 'gagap']",respons suami ungkap nunung gimik aziz gagap
hp rizky febian hilang usai manggung ada imbalan bagi yang menemukan,Selebritas,"['hp', 'rizky', 'febian', 'hilang', 'manggung', 'imbalan', 'menemukan']",hp rizky febian hilang manggung imbal temu
usulan ahmad dhani agar al el dan dul nikah bareng,Selebritas,"['usulan', 'ahmad', 'dhani', 'al', 'el', 'dul', 'nikah', 'bareng']",usul ahmad dhani al el dul nikah bareng
setahun jomlo refal hady ungkap kriteria wanita idaman,Selebritas,"['setahun', 'jomlo', 'refal', 'hady', 'kriteria', 'wanita', 'idaman']",tahun jomlo refal hady kriteria wanita idam
selamat syahrini melahirkan anak pertama,Selebritas,"['selamat', 'syahrini', 'melahirkan', 'anak']",selamat syahrini lahir anak
cerita tengku firmansyah jadi tukang las di kanada belajar dari nol,Selebritas,"['cerita', 'tengku', 'firmansyah', 'tukang', 'las', 'kanada', 'belajar', 'nol']",cerita tengku firmansyah tukang las kanada ajar nol
ini barangbarang ayu ting ting yang hilang dicuri di amerika,Selebritas,"['barangbarang', 'ayu', 'ting', 'ting', 'hilang', 'dicuri', 'amerika']",barangbarang ayu ting ting hilang curi amerika
lesti kejora umumkan hamil anak kedua,Selebritas,"['lesti', 'kejora', 'umumkan', 'hamil', 'anak']",lesti kejora umum hamil anak
pasangan artis ini tidur terpisah selama  tahun,Selebritas,"['pasangan', 'artis', 'tidur', 'terpisah']",pasang artis tidur pisah
lady gaga tunangan dengan michael polansky,Selebritas,"['lady', 'gaga', 'tunangan', 'michael', 'polansky']",lady gaga tunang michael polansky
cerita logan huck baru tahu cinta kuya keluarga seleb usai pacaran,Selebritas,"['cerita', 'logan', 'huck', 'cinta', 'kuya', 'keluarga', 'seleb', 'pacaran']",cerita log huck cinta kuya keluarga seleb pacar
inara rusli ungkap alasan mau menikah dengan virgoun,Selebritas,"['inara', 'rusli', 'alasan', 'menikah', 'virgoun']",inara rusli alas meni virgoun
syarat dari inara rusli jika virgoun mau bertemu anak usai bebas,Selebritas,"['syarat', 'inara', 'rusli', 'virgoun', 'bertemu', 'anak', 'bebas']",syarat inara rusli virgoun temu anak bebas
cerita ria ricis keracunan makanan berujung operasi usus buntu,Selebritas,"['cerita', 'ria', 'ricis', 'keracunan', 'makanan', 'berujung', 'operasi', 'usus', 'buntu']",cerita ria ricis racun makan ujung operasi usus buntu
abidzar mau ketemu netizen yang ungkit kematian uje,Selebritas,"['abidzar', 'ketemu', 'netizen', 'ungkit', 'kematian', 'uje']",abidzar ketemu netizen ungkit mati uje
serbuan semut api bikin kota favorit seleb ini ketakutan,Selebritas,"['serbuan', 'semut', 'api', 'bikin', 'kota', 'favorit', 'seleb', 'ketakutan']",serbu semut api bikin kota favorit seleb takut
populer di indonesia jirayut belum kepikiran jadi wni,Selebritas,"['populer', 'indonesia', 'jirayut', 'kepikiran', 'wni']",populer indonesia jirayut pikir wni
atta halilintar doakan thariq yang bakal segera menikah,Selebritas,"['atta', 'halilintar', 'doakan', 'thariq', 'menikah']",atta halilintar doa thariq meni
hasil autopsi seleb mukbang china yang tewas saat live streaming,Selebritas,"['hasil', 'autopsi', 'seleb', 'mukbang', 'china', 'tewas', 'live', 'streaming']",hasil autopsi seleb mukbang china tewas live streaming
angelina sondakh happy aaliyah massaid segera menikah,Selebritas,"['angelina', 'sondakh', 'happy', 'aaliyah', 'massaid', 'menikah']",angelina sondakh happy aaliyah massaid meni
pengakuan rafael tan diselamatkan konten seblak,Selebritas,"['pengakuan', 'rafael', 'tan', 'diselamatkan', 'konten', 'seblak']",aku rafael tan selamat konten seblak
bianca censori terancam dipenjarakan  tahun gegara bergaya vulgar ke salon,Selebritas,"['bianca', 'censori', 'terancam', 'dipenjarakan', 'gegara', 'bergaya', 'vulgar', 'salon']",bianca censori ancam penjara gegara gaya vulgar salon
sudah jarang syuting adi bing slamet kini buka bengkel mobil,Selebritas,"['jarang', 'syuting', 'adi', 'bing', 'slamet', 'buka', 'bengkel', 'mobil']",jarang syuting adi bing slamet buka bengkel mobil
cerita paula verhoeven hijrah dan putuskan pakai hijab,Selebritas,"['cerita', 'paula', 'verhoeven', 'hijrah', 'putuskan', 'pakai', 'hijab']",cerita paula verhoeven hijrah putus pakai hijab
